chapter,part,line,value,context,family,source,status,note
2,body,41,"3,330","population of around 3,330 state secondary schools, and asks how far each",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,108,2,"$R^2$ of $-0.02$). Second, the enacted and espoused measures diverge in a",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,108,-0.02,"$R^2$ of $-0.02$). Second, the enacted and espoused measures diverge in a",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,185,304,"responsible for behaviour and culture, at 304 schools, and visited",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,189,25,Three-quarters of interviews and half of visits took place in the 2024/25,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,196,7,"four to six in a day and five at the median, spread across Years 7 to 11 and",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,196,11,"four to six in a day and five at the median, spread across Years 7 to 11 and",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,206,1,"rated 1 to 5 against written anchors at 1, 3 and 5, and item ratings are",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,206,5,"rated 1 to 5 against written anchors at 1, 3 and 5, and item ratings are",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,206,"1,","rated 1 to 5 against written anchors at 1, 3 and 5, and item ratings are",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,206,3,"rated 1 to 5 against written anchors at 1, 3 and 5, and item ratings are",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,206,"5,","rated 1 to 5 against written anchors at 1, 3 and 5, and item ratings are",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
2,body,222,"3,324","inspection reports were obtained and scored for 3,324 schools, and 3,272 of",corpus / instrument,"score files, crawl registry, dataset columns (recounted)",FIXED (C2-7),Ofsted corpus count restated from the files
2,body,222,"3,272","inspection reports were obtained and scored for 3,324 schools, and 3,272 of",corpus / instrument,"score files, crawl registry, dataset columns (recounted)",FIXED (C2-7),Ofsted corpus count restated from the files
2,body,223,"3,332","the 3,332 schools in the analysis panel (98.2 per cent) carry a scored report;",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-7),Ofsted corpus count restated from the files
2,body,223,98.2,"the 3,332 schools in the analysis panel (98.2 per cent) carry a scored report;",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED (C2-7),Ofsted corpus count restated from the files
2,body,225,"3,363","Behaviour policy documents were obtained for 3,363 schools, one document per",corpus / instrument,"score files, crawl registry, dataset columns (recounted)",OK,
2,body,230,"3,370","school. School websites were crawled for 3,370 schools, taking the home,",corpus / instrument,"score files, crawl registry, dataset columns (recounted)",OK,
2,body,232,"3,284","itself to prospective parents; 3,284 crawls contain scorable prose, and where a",corpus / instrument,"score files, crawl registry, dataset columns (recounted)",OK,
2,body,238,16,"Education's published tables for 2015/16 to 2024/25, carrying pupil",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,238,"25,","Education's published tables for 2015/16 to 2024/25, carrying pupil",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,239,8,"composition, prior attainment, Progress~8 and its components, workforce and",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
2,body,246,45,"and urban location, and both over-represent London (45 per cent of visited",representativeness,generate_representativeness_outputs.py on gs_data_tier (rebuilt),OK,
2,body,247,15,"schools against 15 per cent nationally), which shows in a higher share of",representativeness,generate_representativeness_outputs.py on gs_data_tier (rebuilt),OK,
